"List","Card Name","Labels","Description"
"Epic 5 - Appointments & scheduling","T5.8 Technician-capacity / multi-tech coordination","BUILD","Still-open gap both stories hit. getAvailableSlots de-facto conflict-checks one calendar; no multi-tech capacity model."
"Epic 6 - Transactions & job fulfillment","T6.1 Transaction/SalesOrder model (open/closed, deposit, balance, invoice)","BUILD","Tracker #40. None exist - only Contact.accountBalance (schema.prisma:329)."
"Epic 6 - Transactions & job fulfillment","T6.2 Deposit logging to customer profile","BUILD","Doc's ACT-CALL-004 shape: service_requested + $500 deposit. serviceRequested enrichment exists; deposit/amount logging does not. Ch 3."
"Epic 6 - Transactions & job fulfillment","T6.3 Job-completed event + action","BUILD","Tracker #38 - nothing logs a job finishing."
"Epic 6 - Transactions & job fulfillment","T6.4 Invoice-sent / balance-collection / payment event","BUILD","Tracker #39."
"Epic 6 - Transactions & job fulfillment","T6.5 Supplier-delivery-received trigger","BUILD","Tracker #37."
"Epic 6 - Transactions & job fulfillment","T6.6 Document back-office PO/supplier as non-goal","RECONCILE","Tracker #36 - PO / model number / supplier ordering is an explicit non-goal for ClearSky; split from the customer-touching writes."
"Epic 7 - Post-job growth","T7.1 Review-request action with GBP link","BUILD","Doc's ACT-REV-008; tracker #24. Gated on job-completed. Action Library stops at ACT-REV-004; a review SMS exists in telemetry.ts:451 but isn't in the library, isn't GBP-linked, isn't job-completion-gated."
"Epic 7 - Post-job growth","T7.2 Referral-request action","BUILD","Sibling of #24 - distinct from review request; absent."
"Epic 7 - Post-job growth","T7.3 Post-job relationship check-in action","BUILD","Doc's ACT-COM-004 - no keep-in-touch mechanism exists."
"Epic 7 - Post-job growth","T7.4 Facebook reciprocal follow-back webhook","BUILD","page.follows.added -> automatic follow-back, reciprocal-only. 'facebook' is a CommunicationType but a follow-back webhook wasn't found - build/verify."
"Epic 7 - Post-job growth","T7.5 Cohort2 trajectory write on job close","BUILD","cohort2_trajectories - absent. No cohort/trajectory table; scoring fields are scattered."
"Epic 8 - Approval routing & comms","T8.1 Financial-vs-non-financial approval routing","BUILD","Bert originates pricing, Sarah relays. Only single-route consultant/owner routing exists via approvalRoute (orchestrator-engine.ts:136); no content classifier routes pricing vs non-pricing to different approvers. Ch 4."
"Epic 8 - Approval routing & comms","T8.2 Thread the three job status messages","BUILD","order-confirmed / arrival / install-reminder under one thread_id. Depends on T1.4."
"Epic 8 - Approval routing & comms","T8.3 Align ACT-COM-001 with existing ACT-A2P-007","RECONCILE","Doc's ACT-COM-001 send_follow_up_message ~= existing ACT-A2P-007 send_sms_followup (seed-pipeline.ts:146); align naming/behavior rather than duplicating."
"Epic 9 - Library governance","T9.1 Reconcile action/signal ID namespace","RECONCILE","Map doc's ACT-CALL-*/ACT-COM-*/SIG-ENG-*/SIG-CONV-* onto real ACT-A2P-*/SIG-COMM-* (or adopt new IDs). Pick one canonical scheme. Tracker #32."
"Epic 9 - Library governance","T9.2 Single source of truth for Action/Signal libraries","BUILD","Action Library only in seed-pipeline.ts; Signal Library in signal-rules.ts. Make the simulator read them instead of hardcoding (ties off T0.2/T0.4)."
"Epic 9 - Library governance","T9.3 Unify booking/review subsystem with Pipeline library","RECONCILE","Booking/calendar/review live in a separate orchestrator subsystem (orchestrator.ts, conversation.ts, reply-skills.ts, /book), not the Pipeline* Action Library. Decide unify vs two tracks - affects Epics 5 & 7."
